,Precision@k,Recall@k,Mean Reciprocal Rank,Mean Average Precision
CosineRecommender,0.07034702265070253,0.043645400699030015,0.0,0.004557907740210549
AlternatingLeastSquares,0.10912827168500606,0.07979519317588261,0.0,0.004080269067754003
